kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
1099,4,311,313,313,313,313,311,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.077Z,2026-01-25T23:26:59.077Z,82,82
1118,4,316,329,329,329,329,316,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.127Z,2026-01-25T23:26:59.127Z,82,80
1128,4,318,326,318,318,318,326,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.151Z,2026-01-25T23:26:59.151Z,81,80
1138,4,320,345,345,320,345,320,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.179Z,2026-01-25T23:26:59.179Z,81,78
1156,4,324,335,335,335,335,324,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.231Z,2026-01-25T23:26:59.231Z,81,79
1162,4,325,343,325,343,325,343,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.247Z,2026-01-25T23:26:59.247Z,80,78
1168,4,327,361,327,327,327,361,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.263Z,2026-01-25T23:26:59.263Z,80,76
1181,4,330,351,330,351,330,351,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.304Z,2026-01-25T23:26:59.304Z,80,77
1194,4,334,352,352,334,352,334,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.343Z,2026-01-25T23:26:59.343Z,79,77
1199,4,336,350,350,350,350,336,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.356Z,2026-01-25T23:26:59.356Z,79,77
1208,4,338,339,339,338,339,338,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.382Z,2026-01-25T23:26:59.382Z,79,79
1214,4,340,356,356,356,356,340,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.398Z,2026-01-25T23:26:59.398Z,78,76
1228,4,344,359,359,359,359,344,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.434Z,2026-01-25T23:26:59.434Z,78,76
1236,4,347,365,347,347,347,365,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.456Z,2026-01-25T23:26:59.456Z,78,76
1241,4,349,358,358,358,358,349,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.469Z,2026-01-25T23:26:59.469Z,77,76
1262,4,357,364,364,364,364,357,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.520Z,2026-01-25T23:26:59.520Z,76,76
1268,4,360,363,363,360,363,360,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.534Z,2026-01-25T23:26:59.534Z,76,76
